Product Title,link,Product Price,Product Rating,Number of Product Reviews
Skybags Brat Black 46 Cms Casual Backpack,https://www.amazon.in/Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-3,669,4.1 out of 5 stars,"3,368"
ADISA 15.6 inch Laptop Backpack Office Bag College Travel Back Pack 32 Ltrs (z-Navy Blue),https://www.amazon.in/ADISA-Laptop-Backpack-Office-College/dp/B09TPX22NF/ref=sr_1_4?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-4,499,3.9 out of 5 stars,462
Fur Jaden Brown Textured Leatherette Stylish & Spacious Weekender Duffle Bag for Travel,https://www.amazon.in/FUR-JADEN-Leatherette-Polypropylene-DUFF05/dp/B07M9BRCQ5/ref=sr_1_5?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-5,889,4.3 out of 5 stars,"5,318"
"Wesley Unisex Milestone Casual Waterproof Laptop Office School College Business Travel Backpack 25 L (Dimensions: 12.5x18 inches) (Compatible with 15.6 inch laptops), Navy Blue",https://www.amazon.in/Wesley-Milestone-Waterproof-Backpack-Business/dp/B07K8KLB3P/ref=sr_1_6?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-6,498,4.3 out of 5 stars,"12,103"
"Mi Step Out 12 L Mini Backpack (Small Size, Black, Water Repellant)",https://www.amazon.in/Backpack-Small-Black-Water-Repellant/dp/B088XB5XY8/ref=sr_1_7?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-7,349,4.1 out of 5 stars,"7,630"
DEIN KLEIDER Men's Nylon Messenger Bag,https://www.amazon.in/Kleider-Travel-Business-Messenger-Shoulder/dp/B084ZHP97M/ref=sr_1_8?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-8,349,4.0 out of 5 stars,"4,397"
"Safari Flash Casual Backpack, 26 ltr Water Resistant Travel Bags| Weight Polyester Bagpack for Men and Women, Spacious Shoulder Bag for College, Office, Travelling and Camping",https://www.amazon.in/Safari-Backpack-Resistant-Polyester-Travelling/dp/B09B26VHXV/ref=sr_1_9?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-9,699,3.9 out of 5 stars,"2,184"
ADISA Light Weight Laptop Backpack 32 Ltrs,https://www.amazon.in/ADISA-BP005-Weight-Casual-Backpack/dp/B07F3X45WZ/ref=sr_1_10?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-10,499,4.0 out of 5 stars,"5,547"
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover,https://www.amazon.in/Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_11?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-11,849,3.9 out of 5 stars,"2,126"
"AirCase Laptop Bag Backpack Case Pouch for Laptop Backpack for Men & Women,Premium Vegan Leather",https://www.amazon.in/AirCase-C34-Laptop-Backpack-Women/dp/B07QN4KXWG/ref=sr_1_12?crid=2M096C61O4MLT&keywords=bags&qid=1675424733&sprefix=ba%2Caps%2C283&sr=8-12,"1,999",3.9 out of 5 stars,710
